FID IID
1758262 1758262
1758538 1758538
1758840 1758840
1758882 1758882
1759573 1759573
1759824 1759824
1760430 1760430
1760813 1760813
1762279 1762279
1762614 1762614
1766946 1766946
1767306 1767306
1767598 1767598
1767854 1767854
1772129 1772129
1773808 1773808
1774669 1774669
1774941 1774941
1776200 1776200
1776541 1776541
1776769 1776769
1778842 1778842
1778986 1778986
1781618 1781618
1783759 1783759
1783785 1783785
1785707 1785707
1786767 1786767
1788330 1788330
1788404 1788404
1788676 1788676
1789346 1789346
1789413 1789413
1789456 1789456
1789750 1789750
1791354 1791354
1791682 1791682
1792693 1792693
1794861 1794861
1796852 1796852
1797602 1797602
1799249 1799249
1800501 1800501
1800910 1800910
1801911 1801911
1802055 1802055
1803956 1803956
1803974 1803974
1804164 1804164
1804570 1804570
1805531 1805531
1810411 1810411
1810422 1810422
1812153 1812153
1812308 1812308
1813765 1813765
1814258 1814258
1815845 1815845
1817322 1817322
1825400 1825400
1825597 1825597
1828928 1828928
1829697 1829697
1830297 1830297
1832068 1832068
1832583 1832583
1833453 1833453
1834764 1834764
1837392 1837392
1837755 1837755
1839930 1839930
1840181 1840181
1841721 1841721
1842950 1842950
1843298 1843298
1845652 1845652
1850374 1850374
1851057 1851057
1853018 1853018
1853360 1853360
1853827 1853827
1854982 1854982
1856395 1856395
1860615 1860615
1861501 1861501
1862431 1862431
1865323 1865323
1868468 1868468
1868979 1868979
1869266 1869266
1871553 1871553
1873551 1873551
1876053 1876053
1876334 1876334
1876546 1876546
1876606 1876606
1876614 1876614
1876850 1876850
1877950 1877950
1878474 1878474
1878721 1878721
1879505 1879505
1880738 1880738
1880985 1880985
1882896 1882896
1883164 1883164
1885990 1885990
1890105 1890105
1896871 1896871
1898352 1898352
1899173 1899173
1899607 1899607
1900314 1900314
1900736 1900736
1900748 1900748
1900793 1900793
1904057 1904057
1904227 1904227
1904993 1904993
1906798 1906798
1908005 1908005
1908580 1908580
1909032 1909032
1912152 1912152
1913207 1913207
1914463 1914463
1914513 1914513
1914751 1914751
1916292 1916292
1916961 1916961
1918223 1918223
1919607 1919607
1921239 1921239
1921779 1921779
1922267 1922267
1927142 1927142
1928157 1928157
1931378 1931378
1931499 1931499
1933100 1933100
1933161 1933161
1933239 1933239
1934646 1934646
1940582 1940582
1941007 1941007
1943626 1943626
1945361 1945361
1948545 1948545
1949537 1949537
1949906 1949906
1952146 1952146
1953774 1953774
1955605 1955605
1956345 1956345
1957222 1957222
1958958 1958958
1959610 1959610
1959687 1959687
1960315 1960315
1960800 1960800
1961550 1961550
1963112 1963112
1964037 1964037
1964181 1964181
1964376 1964376
1965524 1965524
1966021 1966021
1966218 1966218
1967876 1967876
1968884 1968884
1969254 1969254
1969775 1969775
1975858 1975858
1975863 1975863
1976283 1976283
1976617 1976617
1976726 1976726
1977303 1977303
1980572 1980572
1980907 1980907
1981934 1981934
1983214 1983214
1983702 1983702
1985340 1985340
1985464 1985464
1987590 1987590
1988364 1988364
1988559 1988559
1989068 1989068
1993122 1993122
1993637 1993637
1996177 1996177
1996502 1996502
1998856 1998856
1999633 1999633
1999853 1999853
2000143 2000143
2000347 2000347
2000906 2000906
2002907 2002907
2005212 2005212
2006664 2006664
2009966 2009966
2010799 2010799
2010855 2010855
2013009 2013009
2013906 2013906
2016903 2016903
2018006 2018006
2020068 2020068
2021561 2021561
2024394 2024394
2024756 2024756
2025263 2025263
2025789 2025789
2027178 2027178
2027882 2027882
2029591 2029591
2029859 2029859
2030978 2030978
2031319 2031319
2031545 2031545
2032194 2032194
2036171 2036171
2036222 2036222
2039021 2039021
2039220 2039220
2040067 2040067
2041192 2041192
2041585 2041585
2043600 2043600
2044008 2044008
2045387 2045387
2045821 2045821
2046397 2046397
2046608 2046608
2047502 2047502
2047875 2047875
2047951 2047951
2049678 2049678
2052376 2052376
2054944 2054944
2055324 2055324
2055463 2055463
2056298 2056298
2057194 2057194
2058545 2058545
2058989 2058989
2061200 2061200
2064286 2064286
2064723 2064723
2067473 2067473
2068378 2068378
2070593 2070593
2072642 2072642
2074246 2074246
2075742 2075742
2077476 2077476
2077954 2077954
2084042 2084042
2084897 2084897
2088557 2088557
2088672 2088672
2089911 2089911
2090706 2090706
2090952 2090952
2091161 2091161
2091298 2091298
2092453 2092453
2092681 2092681
2093901 2093901
2099944 2099944
2100948 2100948
2101345 2101345
